%time,field.x,field.y,field.z
1668719017780914068,0.531361978490548,0.6012067632828527,0.027036633427638616
1668719017806338548,0.5188182641244611,0.6177726761045281,0.029682888011516837
1668719017832567214,0.529313825472643,0.6022187808915175,0.027296919000627636
1668719017857671022,0.5268551621774689,0.604397043632481,0.027329080094582802
1668719017882703304,0.5259411193110342,0.6007616898114613,0.025674068117626177
1668719017908603191,0.5259411193110342,0.6007616898114613,0.025674068117626177
1668719017933507919,0.5237186760064964,0.6017808229865216,0.02731031038605049
1668719017957799911,0.5238529153152064,0.600440262702244,0.026034754668415906
1668719017982552528,0.5225280335521716,0.6008406977644497,0.027079758052234396
1668719018007448673,0.5203112745091614,0.5989735354292574,0.026910892097728695
1668719018032581567,0.5191823298623539,0.6007418574132143,0.02702536459151434
1668719018058141231,0.5174016105540165,0.5990674443172354,0.02473499385832585
1668719018082217931,0.5148788690494208,0.5985511522933684,0.027220876368857713
1668719018107282876,0.515597130348594,0.5979485185811378,0.02800366130824054
1668719018132615566,0.5111890488663963,0.5984577493583597,0.028253513096935867
1668719018157655239,0.5126255139628473,0.598220532411468,0.02729601509857859
1668719018182822227,0.5094150991815918,0.5996457367187068,0.026107800650500095
1668719018208019971,0.5083892915134796,0.5987151921321903,0.0261694997594704
1668719018234088182,0.5082194391692182,0.598707105835327,0.025877174916975772
1668719018259067296,0.5157353912541025,0.5901201193592069,0.03877971082266151
1668719018283039808,0.5129154228526174,0.595528878176852,0.03694980299464589
1668719018307817697,0.5069081111985142,0.5949808860988501,0.03932412995383734
1668719018333487033,0.504200888483052,0.5919976984120897,0.03728074016208948
1668719018358652114,0.5062653547776018,0.593576834470401,0.037450686104659466
1668719018383932590,0.504200888483052,0.5919976984120897,0.03728074016208948
1668719018410297155,-111.0,-111.0,-111.0
1668719018436643838,0.4996069618708991,0.5916251826219617,0.03795303119919805
1668719018462499856,-111.0,-111.0,-111.0
1668719018487678289,-111.0,-111.0,-111.0
1668719018513577699,0.48562677885341227,0.5816773872851893,0.0034924736746281227
1668719018538424015,0.4835669802056842,0.5827603869958061,0.0056208763858103345
1668719018563484191,0.48221222100970884,0.5833440089707281,0.00625589078849701
1668719018588254451,0.4814892584794765,0.5802331296654822,0.004702272673605512
1668719018612996339,0.4791920496996922,0.5806307149858676,0.0036519466792229163
1668719018638335704,0.47713433127147353,0.5817160105572184,0.005780565544751432
1668719018663542270,0.47410910623722324,0.5789992558274738,0.0031744864191399066
1668719018688693046,0.47111063247457713,0.5799082363287219,0.003622850850508594
1668719018713918447,0.4701655598346136,0.5797193760022995,0.001935106364841361
1668719018739656448,0.467705944939224,0.5815948802555522,0.006398920662544783
1668719018764396429,0.4646744391969934,0.5788811616989109,0.003795929737268782
1668719018789353132,0.4646744391969934,0.5788811616989109,0.003795929737268782
1668719018814898967,0.4573428807027578,0.5964208950172716,0.024906183749747617
1668719018840426206,0.45613223131839986,0.5954933836928238,0.02467714572845207
1668719018865534543,0.437980577290119,0.6257633692635541,0.033086336437833194
1668719018890623807,0.43644083229821756,0.6255114531230086,0.03331825791784725
1668719018916369438,0.4347162559662283,0.6235877029723752,0.030164343551513918
1668719018942049503,0.43217839514738454,0.6259504517099518,0.03238860388629063
1668719018968444585,0.4306240206109272,0.6218284858290382,0.03097684863294809
1668719018992897987,0.42962931535851917,0.6244418468053999,0.03296896136888111
1668719019018644809,0.4279169404686158,0.6263856687688121,0.031459892593286055
1668719019043224096,0.4263749226856403,0.626138614591539,0.031692670155179334
1668719019069947957,0.4424614277221232,0.6008022196489707,0.027801441815324745
1668719019093513011,0.439237318732578,0.6022589935409403,0.026635538318940215
1668719019118110179,0.4369231929112015,0.6031215419885021,0.028209355234324437
1668719019142950057,0.43802462159712374,0.6013420156801509,0.02641060012149928
1668719019169866323,0.4356042156510038,0.6035427301868541,0.029280496030364308
1668719019194608211,0.43681091334118755,0.6004252019698327,0.026185771107432677
1668719019219268083,0.4346444178100452,0.602825699954577,0.026639664072567765
1668719019245008707,0.4321351720321185,0.6023208920999334,0.029163256655364147
1668719019268064737,0.42979849480832477,0.603200933853999,0.02906477365663362
1668719019294280767,0.4313635856834657,0.6000062206591052,0.0265321512233671
1668719019319201231,0.4288695173936336,0.6009114750532619,0.027827108443070903
1668719019343622446,0.42868817912850166,0.6009506831563445,0.027545992349540097
1668719019367723464,0.42765360381692863,0.5999979310134316,0.02760384115131476
1668719019392426490,0.4232899420168006,0.6018455136432417,0.027798015300345893
1668719019417471408,0.4222564712629145,0.6008904026093054,0.027856188067170492
1668719019442528009,0.4221177436334286,0.6023318464578789,0.02802136008995651
1668719019466943502,0.4178559545529492,0.6028445311897537,0.026920229345102825
1668719019493120670,0.4177599255407955,0.600136225817503,0.02657205932138946
1668719019517745494,0.41461486912853773,0.6028951091495612,0.026993790676771066
1668719019544430017,0.41468381008722943,0.6015782630657336,0.02401543325676491
1668719019569983482,0.41213968919109567,0.6036688526849475,0.026785782011838722
1668719019595755100,0.41026762183971643,0.6021195246513114,0.02431354632768066
1668719019621970415,0.4065910630286593,0.6021123629969072,0.027075017373294142
1668719019647571563,0.40430055662859976,0.6043142844142254,0.026882865052479638
1668719019673161983,0.4043976897869715,0.6029784891888705,0.02558122739571429
1668719019698719978,0.4021368568394432,0.6011148165234625,0.02541687759315049
1668719019724901199,0.39978381611354785,0.6021513894848047,0.026837407634407354
1668719019749988794,0.3944254680968752,0.6004040358634872,0.025898371560044698
1668719019774754524,0.3921328768594415,0.6026092856620492,0.025707097104560817
1668719019801828622,0.3899694789464839,0.6009788660294918,0.024526231833386144
1668719019826960563,0.389630049991634,0.5994992544781664,0.025366115964097432
1668719019851124525,0.3885118415632244,0.6013080574887917,0.025495702393091513
1668719019875515222,0.38408147564718625,0.6004231060772226,0.027036197790016606
1668719019897461175,0.384225008462869,0.6003908431393378,0.02563188732547085
1668719019920228719,0.3806949701942282,0.6003673542241764,0.02700255005051455
1668719019942934989,0.3796906101549444,0.5966574938579648,0.025303747123343778
1668719019967221975,0.3762674328807573,0.5993474870547254,0.027025353810921655
1668719019990921258,0.3765006900396359,0.5981099920142394,0.025836805629309335
1668719020016265869,0.3718493724857349,0.5998990229217139,0.027339133677920884
1668719020040457010,0.36961614786393104,0.6036493790695363,0.029125396278002286
1668719020061827659,0.36440733018903576,0.604784537765142,0.025304522943932744
1668719020082551956,0.3628815942671754,0.6023806841495,0.027604155815214127
1668719020103884458,0.3598677651227584,0.6025066170724588,0.02374411544495027
1668719020125889062,0.3577993555038581,0.6021440200574413,0.024152665642060343
1668719020147850275,0.3553678584232496,0.6043971783000971,0.025378623223680973
1668719020169164180,0.3532806379177655,0.602453276213106,0.025488427849973308
1668719020190331935,0.3496941331010056,0.601143336328156,0.02696555766652899
1668719020211384057,0.34757416722941264,0.6008255567960108,0.02569636797122795
1668719020234796524,0.34541062254775684,0.6016664613122013,0.02588168452333288
1668719020256082534,0.3439626403382028,0.5992812099853843,0.025092875780765134
1668719020277254343,0.3400240480789177,0.6012641552305782,0.023169336316636882
1668719020297656297,0.3387880697133269,0.60037525250983,0.02295289947312844
1668719020320246219,0.3364559322698489,0.6014241176387535,0.024411977873284373
1668719020341815471,0.3350032995189148,0.5976973795098646,0.025403217546911536
1668719020363164901,0.331530263761846,0.6004541264973215,0.025454068796780478
1668719020384347677,0.3283571915972798,0.5991599423554047,0.02423960842018907
1668719020405582189,0.3294014868240942,0.598666318908918,0.025421262539578625
1668719020427214384,0.3261442762948667,0.5944917799486341,0.023998468735123183
1668719020448281764,0.3250542397038207,0.5979039842469699,0.02444202789800756
1668719020470138549,0.32125685476961247,0.5993300707311235,0.026880878364953998
1668719020492073297,0.31797956962159596,0.5992534209294205,0.025438815886612735
1668719020516546726,0.31591747111521934,0.5988791219395677,0.02585757448341168
1668719020541039466,0.31355931508498985,0.5998240744139763,0.025779123719604762
1668719020563683986,0.3122595929005583,0.5976551839996282,0.02566736880394394
1668719020585448503,0.3078969092276861,0.5995168939472008,0.02590999091401175
1668719020608592987,0.3055973622139916,0.5963856983041202,0.02274531563126961
1668719020633774518,0.3021667929005746,0.5951730147150281,0.02437661781760986
1668719020658195734,0.29869320894872353,0.5979615659728678,0.024438495506091885
1668719020680965423,0.2963296632607458,0.5974296216358553,0.02559939753474766
1668719020704653978,0.2922122981434436,0.5965938482580051,0.021781707450369475
1668719020727055549,0.2908424530730795,0.5942641528835341,0.024228606085065274
1668719020750329256,0.28870463003996955,0.5939465278063696,0.022964558291167683
1668719020773448944,0.2830303656415788,0.5936521324048721,0.023107810863726548
1668719020796497106,0.28003590807199624,0.5937379242141797,0.02092503291517898
1668719020821794509,0.281031756029671,0.5960548596152788,0.02219840445860458
1668719020846835136,0.2777318612535548,0.5959854094121271,0.020750882247089368
1668719020872496843,0.27242585648813206,0.5956214141376248,0.021297747473979136
1668719020897708892,0.2639190337630503,0.5688256370057574,-7.485061157005492e-05
1668719020923521995,0.25782266546295285,0.5673058609383611,-0.0020666459414889387
1668719020950081348,0.2597540738870635,0.592218544457426,0.023751637639483812
1668719020975982904,0.2560098946396025,0.5923742348053187,0.024903518775304286
1668719021000714540,0.24884091359327792,0.5902457339003877,0.020005691220775678
1668719021026934623,0.24646660076965218,0.5912283000983574,0.019939486318970027
1668719021052372217,0.2442508826052718,0.589280957423672,0.021477678946405364
1668719021076271295,0.2610575689132655,0.5884700252718259,0.03759321396247549
1668719021101617336,-111.0,-111.0,-111.0
1668719021128416299,0.21129532776958587,0.6218462123528878,0.023691066320983653
1668719021154866933,0.20873160689756318,0.6203057291710989,0.024272471044767686
1668719021179172515,0.20873160689756318,0.6203057291710989,0.024272471044767686
1668719021204244852,0.20353616914885744,0.619192148472599,0.023710439461313765
1668719021227858781,0.1970309435598897,0.6225864802277876,0.02127828683412733
1668719021251353025,0.19515666289370195,0.6177998098215284,0.023656114666529025
1668719021275369167,0.21063038982171609,0.59295983945759,0.02348148452217553
1668719021298959970,0.20830728105652957,0.5910897671214372,0.023323929745745122
1668719021324400186,0.20494313146753773,0.5927020358714346,0.023667057845237607
1668719021349480390,0.2014177263536982,0.5912287241314401,0.023196657984330956
1668719021372169733,0.1980538118346417,0.5928449047992692,0.02354347862754965
1668719021394006967,0.19257377783834734,0.5924413976703072,0.023992768306757974
1668719021417799949,0.1878145130713658,0.5944516287693596,0.02387380607871318
1668719021441282033,0.1845032784557612,0.593198740951694,0.024129532524821348
1668719021463323831,0.18196017552924426,0.5914873112579278,0.02371883045283691
1668719021488846063,0.1775403304500772,0.5921020111353155,0.02412556212229089
1668719021514439105,0.17763147584805292,0.5920353861585885,0.022674527132061726
1668719021542149066,0.17321095812368506,0.5926504332515413,0.023082895411917877
1668719021566640615,0.16812651936921075,0.5888273281800599,0.02494698896223433
1668719021591368198,0.16483119365199222,0.5862524794655907,0.02386255438717712
1668719021616563558,0.15941863986558197,0.5870992635814526,0.02421653907893127
1668719021642968177,0.15379502378211707,0.5601126354746219,0.0021016069725994986
1668719021668089866,0.15092154589066514,0.5613545052113535,0.0027195471481777814
1668719021693403959,0.14703809824404937,0.5624330162762358,0.0016935613813092985
1668719021717336654,0.14231663206602352,0.5583979271919884,0.0024046177231575117
1668719021742630481,0.13843376370051214,0.5594854893987653,0.001383282230213539
1668719021767503261,0.1343081505400199,0.5614466934989711,0.0028259886782976687
1668719021792449712,0.1281882306007336,0.5600977833632228,0.0009407961902093129
1668719021817823171,0.12369794840426002,0.5552005975840311,-0.0008028187420998282
1668719021842924356,0.11920806435746778,0.5600338627451147,-0.00030497030526297484
1668719021867856740,0.11611685974446577,0.5621851691592945,0.002798789938010718
1668719021893265485,0.11363495812896887,0.5606167288043495,0.004397213687528787
1668719021918030023,0.11138666983103505,0.5581770553612304,0.0035315424852444665
1668719021942579030,-111.0,-111.0,-111.0
1668719021967904567,-111.0,-111.0,-111.0
1668719021993151664,-111.0,-111.0,-111.0
1668719022018619298,-111.0,-111.0,-111.0
1668719022044099330,-111.0,-111.0,-111.0
1668719022069401264,-111.0,-111.0,-111.0
